Series_Mbl,Circle
9999,DEL
9998,GUJ
9997,UPW
9996,HAR
9995,KER
9994,ROTN
9993,MPR
9992,HAR
9991,HAR
9990,DEL
9989,APR
9988,PUN
9987,MUM
9986,KAR
9985,APR
9984,UPE
9983,RAJ
9982,RAJ
9981,MPR
9980,KAR
9979,GUJ
9978,GUJ
9977,MPR
9976,ROTN
9975,MAG
9974,GUJ
9973,BHR
9972,KAR
9971,DEL
9970,MAG
9969,MUM
9968,DEL
9967,MUM
9966,APR
9965,ROTN
9964,KAR
9963,APR
9962,CHN
9961,KER
9960,MAG
9959,APR
9958,DEL
9957,ASM
9956,UPE
9955,BHR
9954,ASM
9953,DEL
9952,ROTN
9951,APR
9950,RAJ
9949,APR
9948,APR
9947,KER
9946,KER
9945,KAR
9944,ROTN
9943,ROTN
9942,ROTN
9941,ROTN
9940,CHN
9939,BHR
9938,ORS
9937,ORS
9936,UPE
9935,UPE
9934,BHR
9933,ROB
9932,ROB
9931,BHR
9930,MUM
9929,RAJ
9928,RAJ
9927,UPW
9926,MPR
9925,GUJ
9924,GUJ
9923,MAG
9922,MAG
9921,MAG
9920,MUM
9919,UPE
9918,UPE
9917,UPW
9916,KAR
9915,PUN
9914,PUN
9913,GUJ
9912,APR
9911,DEL
9910,DEL
9909,GUJ
9908,APR
9907,MPR
9906,JNK
9905,BHR
9904,GUJ
9903,KOL
9902,KAR
9901,KAR
9900,KAR
9899,DEL
9898,GUJ
9897,UPW
9896,HAR
9895,KER
9894,ROTN
9893,MPR
9892,MUM
9891,DEL
9890,MAG
9889,UPE
9888,PUN
9887,RAJ
9886,KAR
9885,APR
9884,CHN
9883,KOL
9882,HP
9881,MAG
9880,KAR
9879,GUJ
9878,PUN
9877,PUN
9876,PUN
9875,RAJ
9874,KOL
9873,DEL
9872,PUN
9871,DEL
9870,MUM
9869,MUM
9868,DEL
9867,MUM
9866,APR
9865,ROTN
9864,ASM
9863,NE
9862,NE
9861,ORS
9860,MAG
9859,ASM
9858,JNK
9857,HP
9856,NE
9855,PUN
9854,ASM
9853,ORS
9852,BHR
9851,ROB
9850,MAG
9849,APR
9848,APR
9847,KER
9846,KER
9845,KAR
9844,KAR
9843,ROTN
9842,ROTN
9841,ROTN
9840,CHN
9839,UPE
9838,UPE
9837,UPW
9836,KOL
9835,BHR
9834,MAG
9833,MUM
9832,ROB
9831,KOL
9830,KOL
9829,RAJ
9828,RAJ
9827,MPR
9826,MPR
9825,GUJ
9824,GUJ
9823,MAG
9822,MAG
9821,MUM
9820,MUM
9819,MUM
9818,DEL
9817,HAR
9816,HP
9815,PUN
9814,PUN
9813,HAR
9812,HAR
9811,DEL
9810,DEL
9809,KER
9808,UPW
9807,UPE
9806,MPR
9805,HP
9804,KOL
9803,PUN
9802,HAR
9801,BHR
9800,ROB
9799,RAJ
9798,BHR
9797,JNK
9796,JNK
9795,UPE
9794,UPE
9793,UPE
9792,UPE
9791,ROTN
9790,ROTN
9789,ROTN
9788,ROTN
9787,ROTN
9786,ROTN
9785,RAJ
9784,RAJ
9783,RAJ
9782,RAJ
9781,PUN
9780,PUN
9779,PUN
9778,ORS
9777,ORS
9776,ORS
9775,ROB
9774,NE
9773,MUM
9772,RAJ
9771,BHR
9770,MPR
9769,MUM
9768,MUM
9767,MAG
9766,MAG
9765,MAG
9764,MAG
9763,MAG
9762,MAG
9761,UPW
9760,UPW
9759,UPW
9758,UPW
9757,MUM
9756,UPW
9755,MPR
9754,MPR
9753,MPR
9752,MPR
9751,ROTN
9750,ROTN
9749,ROB
9748,KOL
9747,KER
9746,KER
9745,KER
9744,KER
9743,KAR
9742,KAR
9741,KAR
9740,KAR
9739,KAR
9738,KAR
9737,GUJ
9736,HP
9735,ROB
9734,ROB
9733,ROB
9732,ROB
9731,KAR
9730,MAG
9729,HAR
9728,HAR
9727,GUJ
9726,GUJ
9725,GUJ
9724,GUJ
9723,GUJ
9722,GUJ
9721,UPE
9720,UPW
9719,UPW
9718,DEL
9717,DEL
9716,DEL
9715,ROTN
9714,GUJ
9713,MPR
9712,GUJ
9711,DEL
9710,ROTN
9709,BHR
9708,BHR
9707,ASM
9706,ASM
9705,APR
9704,APR
9703,APR
9702,MUM
9701,APR
9700,APR
9699,MUM
9698,ROTN
9697,JNK
9696,UPE
9695,UPE
9694,RAJ
9693,BHR
9692,ORS
9691,MPR
9690,UPW
9689,MAG
9688,ROTN
9687,GUJ
9686,KAR
9685,MPR
9684,MAG
9683,HAR
9682,JNK
9681,KOL
9680,RAJ
9679,ROB
9678,ASM
9677,ROTN
9676,APR
9675,UPW
9674,KOL
9673,MAG
9672,RAJ
9671,HAR
9670,UPE
9669,MPR
9668,ORS
9667,RAJ
9666,APR
9665,MAG
9664,RAJ
9663,KAR
9662,GUJ
9661,BHR
9660,RAJ
9659,ROTN
9658,ORS
9657,MAG
9656,KER
9655,ROTN
9654,DEL
9653,MUM
9652,APR
9651,UPE
9650,DEL
9649,RAJ
9648,UPE
9647,ROB
9646,PUN
9645,KER
9644,MPR
9643,DEL
9642,APR
9641,ROB
9640,APR
9639,UPW
9638,GUJ
9637,MAG
9636,RAJ
9635,ROB
9634,UPW
9633,KER
9632,KAR
9631,BHR
9630,MPR
9629,ROTN
9628,UPE
9627,UPW
9626,ROTN
9625,DEL
9624,GUJ
9623,MAG
9622,JNK
9621,UPE
9620,KAR
9619,MUM
9618,APR
9617,MPR
9616,UPE
9615,NE
9614,ROB
9613,ASM
9612,NE
9611,KAR
9610,RAJ
9609,ROB
9608,BHR
9607,MAG
9606,KAR
9605,KER
9604,MAG
9603,APR
9602,RAJ
9601,GUJ
9600,ROTN
9599,DEL
9598,UPE
9597,ROTN
9596,JNK
9595,MAG
9594,MUM
9593,ROB
9592,PUN
9591,KAR
9590,KAR
9589,MPR
9588,RAJ
9587,RAJ
9586,GUJ
9585,ROTN
9584,MPR
9583,ORS
9582,DEL
9581,APR
9580,UPE
9579,MAG
9578,ROTN
9577,ASM
9576,BHR
9575,MPR
9574,GUJ
9573,APR
9572,BHR
9571,RAJ
9570,BHR
9569,PUN
9568,UPW
9567,KER
9566,ROTN
9565,UPE
9564,ROB
9563,ROB
9562,KER
9561,MAG
9560,DEL
9559,UPE
9558,GUJ
9557,UPW
9556,ORS
9555,DEL
9554,UPE
9553,APR
9552,MAG
9551,ROTN
9550,APR
9549,RAJ
9548,UPW
9547,ROB
9546,BHR
9545,MAG
9544,KER
9543,ROTN
9542,APR
9541,HAR
9540,DEL
9539,KER
9538,KAR
9537,GUJ
9536,UPW
9535,KAR
9534,BHR
9533,APR
9532,UPE
9531,ROB
9530,RAJ
9529,RAJ
9528,UPW
9527,MAG
9526,KER
9525,BHR
9524,ROTN
9523,BHR
9522,MPR
9521,RAJ
9520,UPW
9519,UPE
9518,HAR
9517,UPE
9516,MPR
9515,APR
9514,ROTN
9513,KAR
9512,GUJ
9511,MAG
9510,GUJ
9509,RAJ
9508,ASM
9507,BHR
9506,UPE
9505,APR
9504,BHR
9503,MAG
9502,APR
9501,PUN
9500,ROTN
9499,HAR
9498,CHN
9497,KER
9496,KER
9495,KER
9494,APR
9493,APR
9492,APR
9491,APR
9490,APR
9489,ROTN
9488,ROTN
9487,ROTN
9486,ROTN
9485,NE
9484,GUJ
9483,KAR
9482,KAR
9481,KAR
9480,KAR
9479,MPR
9478,PUN
9477,KOL
9476,ROB
9475,ROB
9474,ROB
9473,BHR
9472,BHR
9471,BHR
9470,BHR
9469,JNK
9468,RAJ
9467,HAR
9466,HAR
9465,PUN
9464,PUN
9463,PUN
9462,RAJ
9461,RAJ
9460,RAJ
9459,HP
9458,UPW
9457,UPW
9456,UPW
9455,UPE
9454,UPE
9453,UPE
9452,UPE
9451,UPE
9450,UPE
9449,KAR
9448,KAR
9447,KER
9446,KER
9445,CHN
9444,ROTN
9443,ROTN
9442,ROTN
9441,APR
9440,APR
9439,ORS
9438,ORS
9437,ORS
9436,NE
9435,ASM
9434,ROB
9433,KOL
9432,KOL
9431,BHR
9430,BHR
9429,GUJ
9428,GUJ
9427,GUJ
9426,GUJ
9425,MPR
9424,MPR
9423,MAG
9422,MAG
9421,MAG
9420,MAG
9419,JNK
9418,HP
9417,PUN
9416,HAR
9415,UPE
9414,RAJ
9413,RAJ
9412,UPW
9411,UPW
9410,UPW
9409,GUJ
9408,GUJ
9407,MPR
9406,MPR
9405,MAG
9404,MAG
9403,MAG
9402,NE
9401,ASM
9400,KER
9399,MPR
9398,APR
9397,APR
9396,APR
9395,APR
9394,APR
9393,APR
9392,APR
9391,APR
9390,APR
9389,UPE
9388,KER
9387,KER
9386,BHR
9385,ROTN
9384,ROTN
9383,ROTN
9382,ROB
9381,APR
9380,KAR
9379,KAR
9378,ROB
9377,GUJ
9376,GUJ
9375,GUJ
9374,GUJ
9373,MAG
9372,MAG
9371,MAG
9370,MAG
9369,UPE
9368,UPW
9367,ROTN
9366,NE
9365,ASM
9364,ROTN
9363,ROTN
9362,ROTN
9361,ROTN
9360,ROTN
9359,UPW
9358,UPW
9357,PUN
9356,PUN
9355,HAR
9354,DEL
9353,KAR
9352,RAJ
9351,RAJ
9350,DEL
9349,KER
9348,ORS
9347,APR
9346,APR
9345,ROTN
9344,ROTN
9343,KAR
9342,KAR
9341,KAR
9340,MPR
9339,KOL
9338,ORS
9337,ORS
9336,UPE
9335,UPE
9334,BHR
9333,ROB
9332,ROB
9331,KOL
9330,KOL
9329,MPR
9328,GUJ
9327,GUJ
9326,MUM
9325,MAG
9324,MUM
9323,MUM
9322,MUM
